id,product_category,product_weight_kg,product_length_mm,product_width_mm,product_height_mm,fragility_level,transport_type,box_style,board_type,flute_type,liner_gsm,fluting_gsm,burst_strength_kg_cm2,ECT_lb_per_in,internal_protection,tape_type,strapping_type,extra_packaging,estimated_price_inr,pros,cons
399,Kitchen appliances,33.45,664,189,498,Low,Interstate trucking,Full overlap box,3-ply,A,250,120,12,61,Corrugated dividers,BOPP tape,PP strap,Edge protectors,27.16,Low cost,Needs padding
400,Glass bottles,4.8,1200,634,165,Medium,Local transport,Mailer box,5-ply,B,120,120,22,48,Air pillows,Water activated kraft tape,PET strap,Corner protectors,46.03,Low cost,Limited moisture resistance
401,Electronics,63.37,302,458,548,High,Local transport,Pallet box,7-ply,B,250,100,14,23,Paper void fill,BOPP tape,Steel strap,Edge protectors,226.01,Low cost,Limited moisture resistance
402,Industrial tools,49.57,223,927,306,Low,Interstate trucking,Die-cut box,5-ply,A,120,100,20,44,None,Water activated kraft tape,PP strap,Corner protectors,59.96,Export suitable,Higher cost
403,Books,76.94,1461,284,506,Medium,Export container,Die-cut box,3-ply,B,120,140,22,23,Bubble wrap,Water activated kraft tape,PP strap,Pallet wrap,34.26,Low cost,Higher cost
404,Paint cans,67.03,947,473,530,Low,Local transport,Mailer box,7-ply,B,120,120,14,72,Corrugated dividers,Filament tape,Steel strap,Edge protectors,266.64,Low cost,Limited moisture resistance
405,LED bulbs,11.38,898,934,741,Low,Interstate trucking,RSC,7-ply,C,180,120,24,72,Air pillows,Filament tape,Steel strap,Edge protectors,283.03,Export suitable,Bulky size
406,Paint cans,26.86,1103,511,154,Medium,Interstate trucking,Mailer box,7-ply,E,250,120,14,48,Foam sheet,Filament tape,None,Corner protectors,158.89,High strength,Bulky size
407,Books,53.82,787,918,42,High,Courier,RSC,7-ply,E,180,100,20,44,Foam sheet,Water activated kraft tape,PP strap,Corner protectors,291.52,High strength,Bulky size
408,Mobile accessories,41.44,689,70,212,High,Courier,Full overlap box,7-ply,B+C,180,140,12,32,Air pillows,Water activated kraft tape,PP strap,Corner protectors,183.29,Low cost,Higher cost
409,Electronics,42.55,222,108,404,Medium,Interstate trucking,RSC,7-ply,B,150,120,22,32,Foam sheet,Water activated kraft tape,PET strap,None,329.43,Good cushioning,Higher cost
410,Mobile accessories,23.4,441,128,750,High,Courier,RSC,3-ply,C,120,160,22,61,Bubble wrap,BOPP tape,Steel strap,Layer pads,20.52,Good stacking,Limited moisture resistance
411,Auto parts,76.81,228,735,268,Low,Interstate trucking,Full overlap box,5-ply,C,250,120,24,32,Bubble wrap,Water activated kraft tape,None,Pallet wrap,55.89,Good cushioning,Bulky size
412,Electronics,1.2,1190,764,528,Low,Interstate trucking,RSC,7-ply,B,250,160,16,23,None,Water activated kraft tape,Steel strap,Pallet wrap,336.74,Low cost,Higher cost
413,Electronics,12.19,480,806,324,Low,Export container,RSC,5-ply,A,120,100,14,61,Paper void fill,Water activated kraft tape,Steel strap,None,117.2,Export suitable,Higher cost
414,Clothing,59.47,219,912,405,Low,Local transport,Full overlap box,7-ply,B+C,120,120,14,51,Foam sheet,Filament tape,PP strap,Layer pads,260.76,Good stacking,Higher cost
415,Paint cans,38.2,674,715,375,High,Interstate trucking,Die-cut box,3-ply,A,180,140,20,61,None,Water activated kraft tape,PET strap,Layer pads,18.34,High strength,Higher cost
416,Ceramics,53.19,98,918,552,Low,Local transport,Pallet box,7-ply,C,150,160,16,48,None,Water activated kraft tape,PP strap,Layer pads,278.44,High strength,Higher cost
417,Food products,8.73,549,567,185,High,Local transport,RSC,3-ply,B,150,120,20,44,Air pillows,BOPP tape,PP strap,Pallet wrap,24.85,Good stacking,Higher cost
418,LED bulbs,36.22,1474,559,587,Medium,Interstate trucking,Die-cut box,3-ply,C,150,100,16,61,Paper void fill,Water activated kraft tape,None,Edge protectors,44.51,Good cushioning,Limited moisture resistance
419,LED bulbs,39.95,534,463,641,Medium,Export container,RSC,5-ply,B+C,120,120,14,72,Bubble wrap,Water activated kraft tape,None,None,98.83,Good cushioning,Limited moisture resistance
420,Books,7.49,393,145,528,High,Local transport,RSC,3-ply,C,120,140,16,44,Paper void fill,Water activated kraft tape,PP strap,Corner protectors,39.14,Low cost,Higher cost
421,Clothing,21.36,365,974,737,Low,Local transport,Die-cut box,3-ply,B+C,230,100,20,72,Paper void fill,Water activated kraft tape,Steel strap,None,19.5,High strength,Needs padding
422,Kitchen appliances,39.32,1252,544,46,Low,Interstate trucking,Full overlap box,7-ply,B,150,160,24,23,Foam sheet,BOPP tape,Steel strap,Corner protectors,184.13,Low cost,Bulky size
423,Mobile accessories,67.32,327,306,258,Low,Interstate trucking,Mailer box,7-ply,E,120,120,24,72,Air pillows,BOPP tape,Steel strap,Edge protectors,210.29,Good stacking,Bulky size
424,Kitchen appliances,51.33,483,157,765,Low,Interstate trucking,Mailer box,7-ply,B+C,150,120,18,72,Foam sheet,Filament tape,Steel strap,None,215.41,High strength,Bulky size
425,Glass bottles,18.07,699,442,149,High,Interstate trucking,RSC,7-ply,A,230,120,12,32,Paper void fill,Filament tape,PP strap,Layer pads,306.34,Good stacking,Heavy box
426,Industrial tools,62.43,1038,692,704,Low,Interstate trucking,Full overlap box,3-ply,B+C,250,140,24,23,Foam sheet,BOPP tape,PET strap,Edge protectors,42.25,Low cost,Heavy box
427,Electronics,40.69,891,636,594,Low,Local transport,Full overlap box,7-ply,C,200,160,22,23,Paper void fill,Filament tape,None,None,352.79,Low cost,Bulky size
428,Paint cans,66.57,1338,168,343,High,Interstate trucking,Mailer box,7-ply,B,150,100,20,32,Foam sheet,Filament tape,PET strap,Corner protectors,144.39,High strength,Bulky size
429,Ceramics,4.55,376,187,481,Medium,Export container,Mailer box,7-ply,B,150,120,12,48,Foam sheet,Filament tape,PET strap,Pallet wrap,209.84,Low cost,Higher cost
430,Kitchen appliances,77.44,1171,322,345,Low,Courier,Full overlap box,3-ply,B+C,150,120,20,61,Bubble wrap,Filament tape,PET strap,Edge protectors,40.56,Good cushioning,Needs padding
431,Auto parts,38.93,102,215,191,Medium,Local transport,Mailer box,7-ply,B+C,200,120,12,23,Foam sheet,BOPP tape,Steel strap,Corner protectors,326.86,Good stacking,Needs padding
432,Pharmaceutical,20.05,1402,651,563,Low,Courier,Full overlap box,7-ply,B,120,140,22,32,None,Filament tape,Steel strap,Pallet wrap,251.77,Low cost,Bulky size
433,Clothing,36.6,1016,219,403,Low,Interstate trucking,RSC,3-ply,A,250,140,24,61,None,BOPP tape,PP strap,Layer pads,26.42,High strength,Bulky size
434,Kitchen appliances,60.15,961,461,582,High,Interstate trucking,Full overlap box,3-ply,B,180,100,24,72,Foam sheet,Filament tape,PET strap,Corner protectors,47.48,Export suitable,Bulky size
435,Clothing,70.3,1377,235,578,High,Export container,Die-cut box,7-ply,C,180,160,20,51,Air pillows,Filament tape,PET strap,Corner protectors,145.89,High strength,Bulky size
436,Food products,61.58,619,451,561,Medium,Courier,Full overlap box,5-ply,A,250,100,12,23,Corrugated dividers,Water activated kraft tape,PP strap,Corner protectors,53.1,Good stacking,Needs padding
437,Ceramics,50.34,101,457,578,Medium,Export container,RSC,3-ply,C,120,100,18,51,None,Filament tape,None,None,32.18,Export suitable,Higher cost
438,Clothing,74.71,167,273,156,Medium,Interstate trucking,Die-cut box,7-ply,B,150,100,20,44,Air pillows,BOPP tape,PP strap,Edge protectors,242.66,Export suitable,Bulky size
439,Kitchen appliances,27.21,426,816,750,High,Courier,Full overlap box,5-ply,B,200,100,20,48,Bubble wrap,BOPP tape,Steel strap,Edge protectors,135.46,High strength,Higher cost
440,Glass bottles,40.3,1093,677,138,High,Courier,Die-cut box,7-ply,A,200,160,16,32,None,Filament tape,None,Pallet wrap,206.73,Low cost,Needs padding
441,Paint cans,31.23,174,196,793,High,Export container,Full overlap box,5-ply,E,150,160,14,44,None,Filament tape,Steel strap,None,133.42,Good stacking,Limited moisture resistance
442,Cosmetics,77.58,1466,163,315,Low,Export container,Die-cut box,3-ply,C,250,160,20,44,Corrugated dividers,BOPP tape,None,Pallet wrap,37.23,Export suitable,Bulky size
443,Cosmetics,50.24,688,263,496,Medium,Courier,Pallet box,5-ply,E,200,140,22,51,Corrugated dividers,BOPP tape,Steel strap,Layer pads,96.35,Good cushioning,Higher cost
444,LED bulbs,23.1,671,170,657,High,Local transport,Pallet box,5-ply,C,200,140,18,48,Air pillows,BOPP tape,PP strap,Layer pads,40.48,High strength,Needs padding
445,Industrial tools,39.89,733,717,122,High,Interstate trucking,Full overlap box,3-ply,C,250,140,24,61,Corrugated dividers,Water activated kraft tape,Steel strap,Pallet wrap,36.62,Good stacking,Higher cost
446,Books,75.54,1236,972,134,High,Courier,Die-cut box,5-ply,B,150,120,18,48,Corrugated dividers,Filament tape,PP strap,Layer pads,61.85,High strength,Bulky size
447,Paint cans,54.96,280,517,391,Low,Courier,Mailer box,3-ply,A,150,160,14,48,Air pillows,Water activated kraft tape,PP strap,Corner protectors,16.71,Good stacking,Needs padding
448,Glass bottles,42.14,137,727,463,High,Local transport,RSC,7-ply,E,120,140,14,51,Paper void fill,Water activated kraft tape,PET strap,None,134.28,Low cost,Needs padding
449,Paint cans,15.79,1450,527,729,Low,Export container,Mailer box,7-ply,B+C,180,140,22,48,Bubble wrap,Water activated kraft tape,None,None,204.84,Good cushioning,Bulky size
450,Cosmetics,8.05,121,986,634,Low,Interstate trucking,RSC,7-ply,A,120,160,16,61,Air pillows,Filament tape,Steel strap,Pallet wrap,210.34,High strength,Needs padding
451,Books,71.95,1348,280,401,High,Export container,RSC,5-ply,B,180,120,14,61,Corrugated dividers,Water activated kraft tape,Steel strap,None,41.96,Good stacking,Bulky size
452,Glass bottles,56.67,710,924,131,High,Courier,Die-cut box,3-ply,B,120,100,22,48,Corrugated dividers,Water activated kraft tape,Steel strap,None,22.95,Low cost,Heavy box
453,Paint cans,1.02,1264,845,97,High,Interstate trucking,Die-cut box,3-ply,B,250,140,16,44,Paper void fill,BOPP tape,PP strap,Layer pads,46.9,Good stacking,Needs padding
454,LED bulbs,73.94,291,378,720,Low,Export container,Die-cut box,3-ply,A,230,140,12,48,Bubble wrap,Filament tape,PET strap,Pallet wrap,13.34,Good stacking,Heavy box
455,Kitchen appliances,36.72,315,118,715,Medium,Export container,RSC,7-ply,C,250,120,16,44,Bubble wrap,BOPP tape,PET strap,Corner protectors,169.9,Good stacking,Heavy box
456,Clothing,29.35,987,692,536,Low,Interstate trucking,Die-cut box,5-ply,B+C,250,160,24,72,Air pillows,Filament tape,Steel strap,Pallet wrap,95.3,High strength,Bulky size
457,Food products,63.75,1192,303,606,Medium,Export container,RSC,7-ply,A,250,120,14,61,Corrugated dividers,Filament tape,PP strap,Edge protectors,256.58,Good cushioning,Needs padding
458,Cosmetics,73.78,1003,887,324,Low,Interstate trucking,RSC,7-ply,C,150,100,12,72,Paper void fill,Filament tape,None,None,223.98,Export suitable,Higher cost
459,Industrial tools,1.75,168,246,142,Medium,Interstate trucking,Pallet box,3-ply,B,250,100,14,72,Foam sheet,Filament tape,PP strap,Edge protectors,23.71,Export suitable,Higher cost
460,Cosmetics,25.62,1225,73,669,Low,Export container,RSC,5-ply,B+C,230,120,20,44,Foam sheet,BOPP tape,PP strap,Layer pads,116.23,Low cost,Limited moisture resistance
461,Kitchen appliances,4.98,1007,838,50,Medium,Courier,RSC,7-ply,A,180,100,12,72,Air pillows,Filament tape,PET strap,None,322.2,Good stacking,Limited moisture resistance
462,LED bulbs,68.54,141,974,145,Medium,Courier,Die-cut box,7-ply,E,230,140,22,72,None,BOPP tape,Steel strap,Pallet wrap,155.75,High strength,Bulky size
463,Auto parts,62.15,1331,808,151,High,Courier,RSC,7-ply,B+C,120,100,12,51,Foam sheet,BOPP tape,PET strap,Corner protectors,97.36,Export suitable,Needs padding
464,Electronics,46.74,878,272,653,Medium,Courier,Die-cut box,7-ply,C,180,120,16,44,Paper void fill,Water activated kraft tape,None,Layer pads,245.23,High strength,Higher cost
465,Auto parts,0.27,800,848,534,Low,Interstate trucking,Full overlap box,5-ply,C,230,160,20,44,Foam sheet,BOPP tape,Steel strap,None,118.47,Export suitable,Bulky size
466,Clothing,4.05,143,274,179,Low,Export container,Die-cut box,7-ply,C,180,140,18,61,Bubble wrap,Filament tape,None,None,286.39,Low cost,Limited moisture resistance
467,Books,6.18,184,141,647,Medium,Courier,Full overlap box,5-ply,B,250,140,18,23,Foam sheet,Water activated kraft tape,PET strap,Layer pads,62.05,Good stacking,Limited moisture resistance
468,Kitchen appliances,70.78,950,290,84,High,Interstate trucking,RSC,5-ply,C,230,120,12,72,Corrugated dividers,Water activated kraft tape,Steel strap,Layer pads,60.04,Low cost,Needs padding
469,Electronics,5.86,447,74,78,Medium,Local transport,Die-cut box,3-ply,B,230,120,24,72,None,BOPP tape,PET strap,Pallet wrap,24.39,Good stacking,Bulky size
470,Auto parts,20.65,1275,556,595,Low,Courier,RSC,7-ply,B,230,120,24,51,Air pillows,Filament tape,Steel strap,Corner protectors,312.54,Low cost,Needs padding
471,Food products,21.47,154,793,708,Medium,Export container,RSC,3-ply,C,120,140,24,51,Paper void fill,Water activated kraft tape,PET strap,Pallet wrap,30.86,Export suitable,Higher cost
472,Food products,41.22,232,985,136,High,Interstate trucking,Mailer box,3-ply,B+C,150,100,12,32,Corrugated dividers,Water activated kraft tape,PP strap,None,36.66,Export suitable,Higher cost
473,Kitchen appliances,1.72,210,899,661,Low,Courier,RSC,5-ply,C,180,120,20,23,Bubble wrap,Filament tape,Steel strap,Layer pads,137.56,Good cushioning,Needs padding
474,Kitchen appliances,30.96,677,730,380,Low,Interstate trucking,Full overlap box,5-ply,B+C,120,140,18,32,Paper void fill,Water activated kraft tape,Steel strap,Pallet wrap,121.59,Export suitable,Bulky size
475,Industrial tools,4.43,100,427,412,High,Interstate trucking,Mailer box,3-ply,B,250,120,20,51,Air pillows,BOPP tape,Steel strap,Layer pads,43.86,Export suitable,Needs padding
476,Books,77.05,1010,223,209,Medium,Local transport,Full overlap box,5-ply,B+C,150,140,16,51,Foam sheet,Filament tape,PET strap,Corner protectors,120.88,Good cushioning,Higher cost
477,Food products,11.31,483,402,240,High,Interstate trucking,Mailer box,3-ply,A,150,120,12,51,Air pillows,BOPP tape,PET strap,Layer pads,16.83,Good stacking,Heavy box
478,Electronics,24.95,1416,583,561,Low,Export container,RSC,3-ply,A,120,140,18,48,Foam sheet,Water activated kraft tape,PP strap,None,21.72,Good cushioning,Needs padding
479,Clothing,4.28,1217,598,462,High,Interstate trucking,Pallet box,5-ply,C,250,120,20,23,Air pillows,Water activated kraft tape,Steel strap,Edge protectors,98.82,Low cost,Needs padding
480,Paint cans,30.59,1243,940,704,High,Interstate trucking,Pallet box,3-ply,E,180,140,24,61,Foam sheet,BOPP tape,PP strap,Edge protectors,19.67,Good stacking,Limited moisture resistance
481,Auto parts,47.77,1000,250,701,High,Local transport,Pallet box,7-ply,C,120,120,22,44,Foam sheet,Filament tape,PP strap,Layer pads,131.4,Good cushioning,Heavy box
482,Cosmetics,64.63,325,241,740,Medium,Courier,RSC,5-ply,B,200,140,18,32,Air pillows,Filament tape,PET strap,Pallet wrap,119.37,Good stacking,Limited moisture resistance
483,Mobile accessories,66.4,420,242,783,Low,Local transport,Mailer box,7-ply,A,150,120,14,48,Air pillows,Water activated kraft tape,PP strap,Edge protectors,152.36,Good stacking,Heavy box
484,Clothing,24.3,1360,880,392,Low,Interstate trucking,Die-cut box,3-ply,B+C,200,100,14,44,Bubble wrap,BOPP tape,Steel strap,Corner protectors,28.6,Good stacking,Needs padding
485,Mobile accessories,17.57,1175,969,487,Medium,Export container,Full overlap box,5-ply,B+C,230,160,12,32,None,Filament tape,None,Pallet wrap,133.36,Export suitable,Bulky size
486,Books,10.9,1460,898,633,Low,Local transport,Full overlap box,3-ply,C,180,120,16,61,Bubble wrap,Filament tape,Steel strap,Layer pads,35.17,Good cushioning,Higher cost
487,Auto parts,51.82,1369,180,707,High,Export container,Die-cut box,7-ply,A,250,140,14,48,Paper void fill,Filament tape,PP strap,Pallet wrap,123.34,Low cost,Limited moisture resistance
488,LED bulbs,78.6,283,335,39,Medium,Export container,Full overlap box,3-ply,C,230,160,22,23,Air pillows,Filament tape,None,Layer pads,30.51,Good cushioning,Bulky size
489,Mobile accessories,5.03,589,252,655,Medium,Courier,Mailer box,5-ply,E,150,140,22,48,Air pillows,Filament tape,None,Corner protectors,81.39,Good stacking,Limited moisture resistance
490,Food products,72.85,366,203,155,High,Courier,Full overlap box,5-ply,B,120,140,12,72,None,Filament tape,None,Edge protectors,126.87,Export suitable,Bulky size
491,Electronics,40.2,924,919,415,Low,Local transport,Die-cut box,5-ply,B+C,200,120,22,44,Corrugated dividers,Filament tape,None,Pallet wrap,124.87,High strength,Limited moisture resistance
492,Pharmaceutical,45.9,936,400,134,Medium,Local transport,Full overlap box,3-ply,B+C,250,100,14,48,Foam sheet,BOPP tape,None,Corner protectors,21.41,Good cushioning,Limited moisture resistance
493,Kitchen appliances,32.76,1214,221,81,Medium,Export container,RSC,5-ply,C,200,120,12,44,Foam sheet,BOPP tape,PET strap,Layer pads,95.75,Export suitable,Limited moisture resistance
494,Clothing,65.22,1180,925,339,Low,Courier,Mailer box,5-ply,C,120,140,20,23,Corrugated dividers,BOPP tape,Steel strap,Edge protectors,43.92,Low cost,Higher cost
495,Industrial tools,36.33,735,317,710,Medium,Local transport,RSC,7-ply,E,230,120,24,61,Paper void fill,Filament tape,None,Layer pads,206.76,Good stacking,Needs padding
496,Glass bottles,62.55,918,748,374,Medium,Export container,RSC,5-ply,A,180,160,24,72,Bubble wrap,Water activated kraft tape,PET strap,Pallet wrap,101.15,Good stacking,Bulky size
497,Glass bottles,8.81,1363,427,464,High,Interstate trucking,RSC,3-ply,A,150,100,16,44,Foam sheet,Filament tape,PET strap,Layer pads,38.63,Export suitable,Heavy box
498,Electronics,23.01,701,298,509,High,Local transport,Pallet box,3-ply,C,120,100,12,61,Corrugated dividers,BOPP tape,Steel strap,Corner protectors,29.92,Low cost,Higher cost
499,Ceramics,13.77,1375,501,332,Medium,Interstate trucking,Die-cut box,5-ply,B+C,230,140,14,32,Foam sheet,Filament tape,PET strap,Layer pads,38.95,Export suitable,Bulky size
500,Ceramics,4.0,724,199,373,Medium,Interstate trucking,Pallet box,5-ply,B,200,160,12,32,Paper void fill,Filament tape,Steel strap,None,124.58,Low cost,Needs padding
501,Paint cans,50.11,955,376,114,Medium,Local transport,Pallet box,7-ply,C,150,140,16,32,Bubble wrap,BOPP tape,PET strap,Layer pads,261.58,Good cushioning,Heavy box
502,Glass bottles,67.82,1045,745,626,Low,Courier,Pallet box,5-ply,B,180,100,24,61,Foam sheet,Filament tape,PET strap,Corner protectors,82.35,Low cost,Limited moisture resistance
503,Food products,11.97,879,859,308,High,Courier,Full overlap box,5-ply,B,230,140,12,51,Bubble wrap,Water activated kraft tape,None,Layer pads,65.55,High strength,Heavy box
504,Industrial tools,33.33,894,869,788,Medium,Courier,Mailer box,7-ply,B,120,160,24,44,Foam sheet,BOPP tape,Steel strap,Pallet wrap,246.96,High strength,Bulky size
505,Books,78.86,1003,923,754,Medium,Interstate trucking,RSC,5-ply,E,120,120,20,61,Corrugated dividers,BOPP tape,Steel strap,Edge protectors,46.32,High strength,Heavy box
506,Food products,79.57,880,79,68,Low,Interstate trucking,Full overlap box,3-ply,E,230,160,16,51,Paper void fill,BOPP tape,None,None,47.93,Good cushioning,Limited moisture resistance
507,Ceramics,56.18,743,131,324,Low,Local transport,Die-cut box,3-ply,B+C,250,140,18,32,Air pillows,Water activated kraft tape,Steel strap,Corner protectors,22.29,Good cushioning,Higher cost
508,Electronics,68.52,344,444,798,Low,Export container,Mailer box,7-ply,C,200,140,20,61,None,Filament tape,PET strap,Corner protectors,292.96,Good cushioning,Higher cost
509,Food products,12.06,169,136,169,Medium,Interstate trucking,Die-cut box,3-ply,E,200,120,14,48,None,BOPP tape,PP strap,None,17.48,Low cost,Needs padding
510,Industrial tools,66.89,872,266,325,High,Courier,Mailer box,5-ply,B,120,120,18,32,Corrugated dividers,BOPP tape,PP strap,Corner protectors,48.15,Low cost,Heavy box
511,Pharmaceutical,52.74,212,759,274,Medium,Local transport,Die-cut box,3-ply,B,180,140,16,61,Bubble wrap,Filament tape,None,Edge protectors,47.04,Export suitable,Limited moisture resistance
512,LED bulbs,72.41,101,167,330,Medium,Local transport,Mailer box,5-ply,A,180,160,22,44,Bubble wrap,BOPP tape,None,Corner protectors,93.7,Good stacking,Bulky size
513,Clothing,26.12,222,769,32,Low,Courier,Full overlap box,5-ply,B+C,250,120,14,44,Corrugated dividers,Filament tape,None,Corner protectors,131.45,Good stacking,Heavy box
514,Electronics,59.1,297,343,350,Low,Export container,Mailer box,3-ply,C,200,140,22,32,None,Filament tape,PP strap,Layer pads,46.71,Good cushioning,Heavy box
515,Industrial tools,30.45,639,436,311,Low,Export container,Pallet box,5-ply,C,120,160,14,23,Corrugated dividers,Water activated kraft tape,PP strap,Layer pads,66.37,Export suitable,Higher cost
516,Industrial tools,4.42,1223,909,774,Medium,Local transport,Full overlap box,3-ply,C,150,120,22,44,Paper void fill,BOPP tape,PP strap,Corner protectors,23.37,Good stacking,Heavy box
517,Electronics,10.53,223,914,55,Medium,Courier,Pallet box,3-ply,B+C,150,120,16,61,Paper void fill,Water activated kraft tape,Steel strap,Pallet wrap,17.55,Export suitable,Needs padding
518,Industrial tools,41.09,1195,110,67,Low,Export container,RSC,5-ply,C,150,100,14,51,Bubble wrap,BOPP tape,Steel strap,Pallet wrap,96.92,High strength,Higher cost
519,Auto parts,24.47,228,773,514,Medium,Courier,Mailer box,3-ply,B,180,140,18,48,Corrugated dividers,BOPP tape,PP strap,Corner protectors,12.85,Low cost,Limited moisture resistance
520,Ceramics,59.13,139,603,506,Medium,Interstate trucking,Mailer box,7-ply,E,200,100,18,51,Foam sheet,BOPP tape,None,Edge protectors,256.34,Good cushioning,Higher cost
521,Clothing,30.47,1453,768,275,Medium,Local transport,Pallet box,5-ply,B,230,120,14,23,Corrugated dividers,BOPP tape,PP strap,Layer pads,135.76,High strength,Higher cost
522,Cosmetics,34.43,1276,467,496,High,Courier,Full overlap box,5-ply,B+C,180,120,16,32,Foam sheet,Filament tape,Steel strap,Edge protectors,74.35,Good stacking,Higher cost
523,Ceramics,62.08,401,618,87,High,Courier,Full overlap box,7-ply,C,180,160,18,72,Air pillows,BOPP tape,PP strap,Layer pads,291.4,Good stacking,Limited moisture resistance
524,Cosmetics,10.64,910,222,407,Low,Courier,Mailer box,3-ply,E,230,100,12,72,Bubble wrap,Water activated kraft tape,PP strap,Layer pads,14.83,High strength,Heavy box
525,Paint cans,54.46,543,918,490,High,Courier,RSC,5-ply,C,200,120,12,23,Corrugated dividers,BOPP tape,PET strap,Corner protectors,38.34,Low cost,Limited moisture resistance
526,LED bulbs,37.98,959,210,122,Medium,Courier,Pallet box,7-ply,B+C,150,100,14,44,None,Filament tape,PET strap,Corner protectors,224.22,Good stacking,Bulky size
527,Pharmaceutical,78.67,1226,494,554,Low,Interstate trucking,Mailer box,7-ply,C,200,100,24,23,Corrugated dividers,Water activated kraft tape,PET strap,Edge protectors,325.93,Export suitable,Heavy box
528,Cosmetics,53.32,788,224,504,Medium,Courier,RSC,3-ply,C,180,160,14,32,Corrugated dividers,Water activated kraft tape,PP strap,Layer pads,14.37,Good stacking,Limited moisture resistance
529,Clothing,55.52,268,646,405,Low,Interstate trucking,Mailer box,3-ply,E,200,120,24,61,Corrugated dividers,Filament tape,PET strap,None,12.62,Low cost,Needs padding
530,Glass bottles,70.53,774,520,409,Low,Local transport,Pallet box,3-ply,E,200,140,20,51,Bubble wrap,Filament tape,Steel strap,None,23.63,Low cost,Heavy box
531,Kitchen appliances,32.7,243,277,600,High,Local transport,Mailer box,5-ply,B+C,200,160,18,51,None,Filament tape,PP strap,Corner protectors,139.17,Export suitable,Higher cost
532,Auto parts,60.39,584,787,206,High,Interstate trucking,Die-cut box,7-ply,E,250,160,14,48,Paper void fill,Water activated kraft tape,Steel strap,None,132.09,Good cushioning,Heavy box
533,Food products,1.1,941,383,248,High,Export container,Full overlap box,7-ply,B,180,100,14,32,Air pillows,Filament tape,Steel strap,None,298.27,Good stacking,Limited moisture resistance
534,Paint cans,10.66,1382,771,244,Low,Local transport,RSC,7-ply,C,150,120,20,32,Air pillows,Water activated kraft tape,Steel strap,Pallet wrap,103.83,Export suitable,Limited moisture resistance
535,LED bulbs,42.33,1286,765,566,Medium,Export container,Pallet box,5-ply,E,150,160,22,61,Bubble wrap,Filament tape,Steel strap,Corner protectors,69.41,Good stacking,Heavy box
536,Paint cans,40.77,736,193,435,High,Interstate trucking,Mailer box,5-ply,E,250,100,12,32,Bubble wrap,Water activated kraft tape,PET strap,None,97.29,High strength,Higher cost
537,Clothing,9.64,1021,63,171,High,Local transport,Pallet box,3-ply,C,180,120,24,72,Paper void fill,Water activated kraft tape,Steel strap,Corner protectors,16.26,Good cushioning,Needs padding
538,LED bulbs,40.67,1369,699,216,Low,Export container,RSC,3-ply,B+C,150,100,18,48,Foam sheet,Filament tape,PET strap,Edge protectors,42.49,Low cost,Higher cost
539,Electronics,78.49,478,379,683,Low,Interstate trucking,RSC,5-ply,E,250,140,14,23,Corrugated dividers,BOPP tape,Steel strap,None,45.09,High strength,Bulky size
540,Glass bottles,27.85,224,221,755,High,Interstate trucking,RSC,5-ply,A,200,160,24,32,Corrugated dividers,Filament tape,None,Corner protectors,97.32,Good cushioning,Limited moisture resistance
541,Electronics,1.56,443,474,369,High,Export container,Mailer box,3-ply,B+C,200,140,22,23,Paper void fill,Filament tape,PP strap,Pallet wrap,42.29,Low cost,Limited moisture resistance
542,Electronics,52.75,1184,942,594,Medium,Interstate trucking,Mailer box,7-ply,E,200,160,18,61,None,BOPP tape,None,Edge protectors,115.69,Export suitable,Limited moisture resistance
543,Kitchen appliances,57.72,680,864,661,Medium,Export container,Die-cut box,5-ply,A,230,100,12,72,None,Water activated kraft tape,Steel strap,Layer pads,68.5,Low cost,Limited moisture resistance
544,LED bulbs,10.14,108,215,728,Low,Local transport,Mailer box,5-ply,B+C,250,100,12,32,Corrugated dividers,BOPP tape,PP strap,Layer pads,40.25,Low cost,Higher cost
545,Kitchen appliances,7.16,239,887,783,Medium,Local transport,Mailer box,7-ply,C,180,140,22,51,Air pillows,BOPP tape,None,Pallet wrap,100.06,Export suitable,Higher cost
546,Clothing,11.11,879,296,163,Medium,Export container,Die-cut box,3-ply,B+C,180,100,24,23,Air pillows,Water activated kraft tape,PP strap,Corner protectors,27.95,Good cushioning,Higher cost
547,Electronics,64.59,1024,450,387,Medium,Courier,Pallet box,3-ply,A,230,160,12,44,Foam sheet,BOPP tape,None,Layer pads,15.32,High strength,Heavy box
548,Pharmaceutical,64.03,269,629,209,Medium,Local transport,Pallet box,3-ply,B+C,250,120,22,44,Corrugated dividers,Water activated kraft tape,PP strap,None,16.11,Good stacking,Limited moisture resistance
549,Pharmaceutical,23.13,558,931,36,Medium,Interstate trucking,Pallet box,3-ply,C,150,120,12,23,Paper void fill,Water activated kraft tape,Steel strap,Corner protectors,15.79,Low cost,Heavy box
550,Electronics,42.03,655,236,361,High,Courier,Mailer box,5-ply,E,230,100,12,72,None,Water activated kraft tape,PET strap,None,70.5,Export suitable,Heavy box
551,Pharmaceutical,69.19,140,318,117,Low,Courier,Pallet box,7-ply,B+C,200,120,24,51,Air pillows,Water activated kraft tape,PET strap,Edge protectors,351.97,Export suitable,Higher cost
552,Electronics,34.59,1497,249,314,Medium,Courier,Mailer box,3-ply,A,120,100,16,32,Bubble wrap,Water activated kraft tape,None,None,34.27,Good cushioning,Higher cost
